club,total_attempts,on_target,goals,pass_attempted,pass_accuracy,cross_attempted,balls_recoverd,tackles,fouls_committed,fouls_suffered,saved,dribbles,total_minutes,balls_recoverd_per90,tackles_per90,fouls_committed_per90,fouls_suffered_per90,saved_per90,dribbles_per90,cross_attempted_per90
Ajax,131,52,21,4488,85.45625,159,327,107,117,75,15,96,7912,3.719666329625885,1.2171385237613752,1.3308897876643073,0.8531344792719919,0.17062689585439839,1.0920121334681496,1.808645096056623
Atalanta,81,30,12,2921,78.92777777777778,102,280,65,68,73,21,57,5940,4.242424242424242,0.9848484848484849,1.0303030303030303,1.106060606060606,0.3181818181818182,0.8636363636363635,1.5454545454545454
Atlético,96,27,9,3509,76.52,117,474,132,139,123,26,47,9425,4.526259946949602,1.2604774535809018,1.3273209549071618,1.1745358090185676,0.24827586206896549,0.4488063660477454,1.1172413793103448
Barcelona,60,11,2,3498,86.825,118,235,89,83,65,16,0,5939,3.561205590166695,1.3487119043610036,1.2577875063141943,0.9850143121737666,0.24246506145815794,0.0,1.7881798282539147
Bayern,192,70,30,6147,87.53157894736842,209,439,92,115,94,18,145,9901,3.9905060094939904,0.8362791637208362,1.0453489546510453,0.8544591455408544,0.1636198363801636,1.3180486819513182,1.8998081001918998
Benfica,91,35,13,3689,77.325,116,390,144,110,122,38,51,9900,3.545454545454545,1.309090909090909,1.0,1.1090909090909091,0.34545454545454546,0.4636363636363637,1.0545454545454547
Beşiktaş,49,12,3,2470,79.07826086956521,72,276,96,63,62,24,4,5893,4.2151705413202105,1.4661462752418124,0.9621584931274393,0.9468861360936704,0.3665365688104531,0.061089428135075514,1.0996097064313592
Chelsea,167,57,21,6382,85.825,224,403,96,134,86,13,78,10230,3.545454545454545,0.844574780058651,1.1788856304985338,0.7565982404692083,0.11436950146627566,0.6862170087976539,1.970674486803519
Club Brugge,59,24,5,2161,77.46666666666667,94,262,67,62,54,28,34,5940,3.9696969696969697,1.0151515151515151,0.9393939393939394,0.8181818181818181,0.4242424242424242,0.5151515151515151,1.4242424242424243
Dortmund,84,29,10,3110,80.6421052631579,94,282,58,64,42,14,41,5863,4.328841889817499,0.8903291830121098,0.9824322019443971,0.6447211325260106,0.21490704417533685,0.6293706293706294,1.4429472966058334
Dynamo Kyiv,47,16,1,2441,77.52105263157895,58,237,70,54,78,17,8,5940,3.590909090909091,1.0606060606060606,0.8181818181818181,1.1818181818181819,0.25757575757575757,0.12121212121212122,0.8787878787878787
Inter,133,40,9,3911,83.48421052631579,183,306,109,86,78,12,26,7867,3.5006991229185203,1.246981060124571,0.9838566162450744,0.8923350705478581,0.13728231854582432,0.2974450235159527,2.093555357823821
Juventus,105,37,11,4100,84.745,127,349,92,79,81,16,22,7921,3.965408408029289,1.0453225602827925,0.897613937634137,0.9203383411185456,0.18179522787526825,0.24996843832849389,1.4429996212599419
LOSC,90,22,8,3414,77.61666666666666,102,313,91,78,97,17,23,8280,3.402173913043478,0.9891304347826086,0.8478260869565218,1.0543478260869565,0.1847826086956522,0.25,1.108695652173913
Leipzig,87,34,15,2578,78.15555555555555,102,260,89,97,62,14,27,5938,3.9407207814078813,1.3489390367126979,1.4701919838329405,0.9397103401818795,0.21219265746042437,0.4092286965308185,1.545975075783092
Liverpool,203,74,30,8204,81.916,275,578,124,146,116,15,167,12871,4.041644005904747,0.867065496076451,1.0208996969932407,0.8111257866521638,0.10488695517053843,1.1677414342319943,1.922927511459871
Malmö,35,7,1,2139,75.08888888888889,47,209,72,74,60,32,19,5905,3.1854360711261642,1.0973751058425063,1.1278577476714648,0.9144792548687553,0.4877222692633362,0.28958509737510585,0.716342082980525
Man. City,193,68,28,7511,89.17999999999999,223,448,103,126,118,18,144,12204,3.303834808259587,0.7595870206489675,0.9292035398230089,0.8702064896755163,0.1327433628318584,1.0619469026548671,1.644542772861357
Man. United,88,40,12,4016,82.17272727272727,125,317,85,80,86,22,16,7865,3.627463445645264,0.9726636999364273,0.9154481881754609,0.9841068022886205,0.2517482517482518,0.1830896376350922,1.4303877940241576
Milan,48,16,5,2366,80.275,85,271,74,73,81,22,46,5880,4.1479591836734695,1.1326530612244898,1.1173469387755102,1.239795918367347,0.336734693877551,0.7040816326530613,1.3010204081632653
Paris,92,39,15,4585,86.0611111111111,71,280,111,76,105,29,73,7920,3.1818181818181817,1.2613636363636365,0.8636363636363635,1.1931818181818181,0.3295454545454546,0.8295454545454546,0.8068181818181819
Porto,82,25,2,2081,78.81764705882354,81,239,80,94,75,18,10,5398,3.9848091885883665,1.333827343460541,1.5672471285661356,1.2504631344942572,0.30011115227862173,0.16672841793256762,1.3505001852537977
Real Madrid,179,69,28,7415,85.83888888888889,187,514,166,120,149,61,165,13531,3.4188160520286752,1.1041312541571207,0.7981671716798462,0.9910575715024758,0.40573497893725524,1.0974798610597887,1.2438105092010938
Salzburg,89,37,10,2936,70.25333333333333,109,369,116,129,86,16,49,7920,4.193181818181818,1.3181818181818183,1.465909090909091,0.9772727272727273,0.18181818181818182,0.5568181818181818,1.2386363636363638
Sevilla,71,23,5,3131,81.42777777777778,146,272,51,77,85,14,17,5874,4.167517875383044,0.7814096016343207,1.1797752808988764,1.3023493360572012,0.21450459652706844,0.2604698672114403,2.236976506639428
Shakhtar Donetsk,81,21,2,3426,86.935,62,209,41,64,51,24,5,5940,3.166666666666667,0.6212121212121212,0.9696969696969697,0.7727272727272727,0.36363636363636365,0.07575757575757576,0.9393939393939394
Sheriff,54,20,7,1629,74.94666666666667,68,226,101,64,49,35,21,5940,3.424242424242424,1.5303030303030303,0.9696969696969697,0.7424242424242424,0.5303030303030303,0.3181818181818182,1.0303030303030303
Sporting CP,79,31,14,2966,76.655,79,281,116,85,108,20,44,7920,3.1931818181818183,1.3181818181818183,0.9659090909090908,1.2272727272727273,0.2272727272727273,0.5,0.8977272727272727
Villarreal,115,45,20,4749,78.83,116,462,131,115,112,41,74,11871,3.502653525398029,0.9931766489764974,0.8718726307808946,0.8491281273692192,0.31084154662623203,0.5610310841546626,0.8794541319181198
Wolfsburg,44,11,5,2235,73.06842105263158,72,260,51,88,64,23,1,5908,3.960731211916046,0.7769126607989167,1.3405551794177386,0.974949221394719,0.35037237643872715,0.015233581584292484,1.0968178740690588
Young Boys,82,25,7,2664,80.17777777777778,128,277,81,87,42,21,45,5941,4.196263255344218,1.2270661504797173,1.3179599394041406,0.6362565224709644,0.3181282612354822,0.6817034169331763,1.939067497054368
Zenit,80,27,9,2678,83.90588235294118,113,242,67,50,64,17,26,5937,3.668519454269833,1.01566447700859,0.7579585649317837,0.9701869631126833,0.2577059120768065,0.3941384537645275,1.7129863567458314
