serial_attacking,player_name,club,position,assists_attacking,corner_taken_attacking,offsides_attacking,dribbles_attacking,match_played_attacking,serial_attempts,total_attempts_attempts,on_target_attempts,off_target_attempts,blocked_attempts,match_played_attempts,serial_goals,goals_goals,right_foot_goals,left_foot_goals,headers_goals,others_goals,inside_area_goals,outside_areas_goals,penalties_goals,match_played_goals,serial_disciplinary,fouls_committed_disciplinary,fouls_suffered_disciplinary,red_disciplinary,yellow_disciplinary,minutes_played_disciplinary,match_played_disciplinary,minutes_played_key_stats,match_played_key_stats,goals_key_stats,assists_key_stats,distance_covered_key_stats,cluster_offensive
24.0,Aaronson,Salzburg,Midfielder,2.0,4.0,5.0,9.0,8.0,98.0,9.0,3.0,2.0,4.0,8.0,,,,,,,,,,,326.0,3.0,13.0,0.0,0.0,715.0,8.0,715.0,8.0,0.0,2.0,103.5,0
,Abubakari,Malmö,Forward,,,,,,347.0,2.0,0.0,2.0,0.0,4.0,,,,,,,,,,,146.0,6.0,4.0,0.0,0.0,116.0,4.0,116.0,4.0,0.0,0.0,15.3,3
,Acuña,Sevilla,Defender,,,,,,,,,,,,,,,,,,,,,,31.0,12.0,6.0,0.0,0.0,379.0,5.0,379.0,5.0,0.0,0.0,43.2,3
,Adams,Leipzig,Midfielder,,,,,,,,,,,,,,,,,,,,,,146.0,6.0,2.0,4.0,0.0,292.0,5.0,292.0,5.0,0.0,0.0,38.9,0
,Adamu,Salzburg,Forward,,,,,,219.0,4.0,2.0,0.0,2.0,8.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,55.0,10.0,2.0,0.0,0.0,231.0,8.0,231.0,8.0,1.0,0.0,32.6,2
,Addo,Sheriff,Midfielder,,,,,,440.0,1.0,0.0,1.0,0.0,6.0,,,,,,,,,,,20.0,14.0,4.0,3.0,0.0,491.0,6.0,491.0,6.0,0.0,0.0,59.7,0
64.0,Adeyemi,Salzburg,Forward,1.0,0.0,0.0,23.0,8.0,31.0,16.0,10.0,3.0,3.0,8.0,23.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,8.0,71.0,9.0,18.0,2.0,0.0,607.0,8.0,607.0,8.0,3.0,1.0,69.2,1
,Adán,Sporting CP,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,7.0,0.0,0.0,36.3,3
64.0,Aebischer,Young Boys,Midfielder,1.0,11.0,0.0,6.0,6.0,130.0,7.0,1.0,5.0,1.0,6.0,,,,,,,,,,,146.0,6.0,4.0,2.0,0.0,504.0,6.0,504.0,6.0,0.0,1.0,53.9,0
,Agüero,Barcelona,Forward,,,,,,440.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,15.0,1.0,0.0,0.0,1.9,3
,Ahmedhodžić,Malmö,Defender,,,,,,,,,,,,,,,,,,,,,,146.0,6.0,0.0,1.0,1.0,413.0,5.0,413.0,5.0,0.0,0.0,46.3,3
,Akanji,Dortmund,Defender,,,,,,347.0,2.0,0.0,1.0,1.0,5.0,,,,,,,,,,,491.0,1.0,2.0,0.0,0.0,450.0,5.0,450.0,5.0,0.0,0.0,50.6,3
,Aké,Man. City,Defender,,,,,,219.0,4.0,1.0,3.0,0.0,6.0,73.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,326.0,3.0,4.0,1.0,0.0,324.0,6.0,324.0,6.0,1.0,0.0,36.9,2
64.0,Al. Miranchuk,Atalanta,Forward,1.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,491.0,1.0,1.0,0.0,0.0,33.0,2.0,33.0,2.0,0.0,1.0,4.8,3
,Alaba,Real Madrid,Defender,,,,,,179.0,5.0,1.0,1.0,3.0,12.0,73.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,71.0,9.0,1.0,1.0,0.0,1040.0,12.0,1040.0,12.0,1.0,0.0,112.3,2
64.0,Alan Patrick,Shakhtar Donetsk,Midfielder,1.0,4.0,0.0,5.0,4.0,153.0,6.0,1.0,1.0,4.0,4.0,,,,,,,,,,,146.0,6.0,6.0,0.0,0.0,268.0,4.0,268.0,4.0,0.0,1.0,37.1,0
,Albiol,Villarreal,Defender,,,,,,347.0,2.0,0.0,1.0,1.0,12.0,,,,,,,,,,,71.0,9.0,6.0,1.0,0.0,1045.0,12.0,1045.0,12.0,0.0,0.0,115.7,0
,Alcácer,Villarreal,Forward,,,,,,219.0,4.0,2.0,1.0,1.0,3.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,491.0,1.0,0.0,0.0,0.0,73.0,3.0,73.0,3.0,1.0,0.0,10,3
,Alex Sandro,Juventus,Defender,,,,,,153.0,6.0,1.0,5.0,0.0,7.0,73.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,94.0,8.0,9.0,0.0,0.0,553.0,7.0,553.0,7.0,1.0,0.0,69,2
,Alex Teixeira,Beşiktaş,Midfielder,,,,,,440.0,1.0,0.0,1.0,0.0,3.0,,,,,,,,,,,417.0,2.0,4.0,1.0,0.0,184.0,3.0,184.0,3.0,0.0,0.0,18.6,3
,Alex Telles,Man. United,Defender,,,,,,440.0,1.0,1.0,0.0,0.0,4.0,73.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,417.0,2.0,6.0,2.0,0.0,293.0,4.0,293.0,4.0,1.0,0.0,33.5,2
5.0,Alexander-Arnold,Liverpool,Defender,4.0,36.0,0.0,9.0,9.0,52.0,12.0,1.0,6.0,5.0,9.0,,,,,,,,,,,201.0,5.0,6.0,2.0,0.0,794.0,9.0,794.0,9.0,0.0,4.0,86.8,0
64.0,Alexis Sánchez,Inter,Forward,1.0,0.0,3.0,2.0,6.0,347.0,2.0,1.0,1.0,0.0,6.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,417.0,2.0,2.0,2.0,1.0,155.0,6.0,155.0,6.0,1.0,1.0,19,2
,Alisson Becker,Liverpool,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.0,13.0,0.0,0.0,68.8,3
,Alonso,Chelsea,Defender,,,,,,52.0,12.0,4.0,4.0,4.0,8.0,,,,,,,,,,,40.0,11.0,7.0,1.0,0.0,548.0,8.0,548.0,8.0,0.0,0.0,68.9,0
,Andriyevskiy,Dynamo Kyiv,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,2.0,0.0,0.0,12.9,3
,André,LOSC,Midfielder,,,,,,179.0,5.0,1.0,1.0,3.0,7.0,,,,,,,,,,,71.0,9.0,10.0,3.0,0.0,630.0,7.0,630.0,7.0,0.0,0.0,80,0
,André Almeida,Benfica,Defender,,,,,,,,,,,,,,,,,,,,,,417.0,2.0,5.0,0.0,0.0,236.0,5.0,236.0,5.0,0.0,0.0,29.6,3
24.0,André Silva,Leipzig,Forward,2.0,0.0,9.0,5.0,6.0,22.0,21.0,10.0,6.0,5.0,6.0,23.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,94.0,8.0,8.0,0.0,0.0,410.0,6.0,410.0,6.0,3.0,2.0,47.2,1
12.0,Angeliño,Leipzig,Defender,3.0,8.0,0.0,4.0,5.0,179.0,5.0,0.0,2.0,3.0,5.0,,,,,,,,,,,263.0,4.0,2.0,2.0,1.0,432.0,5.0,432.0,5.0,0.0,3.0,50.7,0
4.0,Antony,Ajax,Forward,5.0,3.0,4.0,28.0,7.0,10.0,26.0,10.0,9.0,7.0,7.0,43.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,201.0,5.0,9.0,1.0,0.0,577.0,7.0,577.0,7.0,2.0,5.0,65.1,1
,Arboleda,Sheriff,Defender,,,,,,440.0,1.0,0.0,1.0,0.0,6.0,,,,,,,,,,,491.0,1.0,1.0,1.0,0.0,540.0,6.0,540.0,6.0,0.0,0.0,53.3,0
12.0,Arnold,Wolfsburg,Midfielder,3.0,10.0,0.0,1.0,6.0,179.0,5.0,1.0,3.0,1.0,6.0,,,,,,,,,,,55.0,10.0,9.0,3.0,0.0,540.0,6.0,540.0,6.0,0.0,3.0,67.3,0
,Arthur,Juventus,Midfielder,,,,,,347.0,2.0,0.0,2.0,0.0,6.0,,,,,,,,,,,263.0,4.0,4.0,1.0,0.0,264.0,6.0,264.0,6.0,0.0,0.0,35.2,0
24.0,Asensio,Real Madrid,Forward,2.0,5.0,0.0,1.0,8.0,179.0,5.0,3.0,0.0,2.0,8.0,73.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,417.0,2.0,0.0,0.0,0.0,207.0,8.0,207.0,8.0,1.0,2.0,28.4,2
,Athanasiadis,Sheriff,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,5.0,0.0,0.0,22.7,3
,Augustinsson,Sevilla,Defender,,,,,,,,,,,,,,,,,,,,,,417.0,2.0,3.0,1.0,0.0,80.0,3.0,80.0,3.0,0.0,0.0,11.1,3
64.0,Aurier,Villarreal,Defender,1.0,1.0,0.0,0.0,5.0,440.0,1.0,0.0,1.0,0.0,5.0,,,,,,,,,,,491.0,1.0,1.0,0.0,0.0,129.0,5.0,129.0,5.0,0.0,1.0,15.9,3
64.0,Azmoun,Zenit,Forward,1.0,0.0,1.0,2.0,5.0,113.0,8.0,6.0,1.0,1.0,5.0,43.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,326.0,3.0,1.0,0.0,0.0,303.0,5.0,303.0,5.0,2.0,1.0,30.3,2
64.0,Azpilicueta,Chelsea,Defender,1.0,0.0,0.0,3.0,9.0,277.0,3.0,3.0,0.0,0.0,9.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,71.0,9.0,3.0,1.0,0.0,679.0,9.0,679.0,9.0,1.0,1.0,82,2
,Bailly,Man. United,Defender,,,,,,,,,,,,,,,,,,,,,,417.0,2.0,2.0,0.0,0.0,180.0,2.0,180.0,2.0,0.0,0.0,18.8,3
,Bakayoko,Milan,Defender,,,,,,347.0,2.0,0.0,1.0,1.0,3.0,,,,,,,,,,,491.0,1.0,4.0,1.0,0.0,56.0,3.0,56.0,3.0,0.0,0.0,8.1,3
,Baku,Wolfsburg,Midfielder,,,,,,347.0,2.0,1.0,0.0,1.0,6.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,326.0,3.0,1.0,0.0,0.0,413.0,6.0,413.0,6.0,1.0,0.0,48.6,2
,Balanta,Club Brugge,Midfielder,,,,,,,,,,,,,,,,,,,,,,5.0,18.0,3.0,4.0,0.0,407.0,5.0,407.0,5.0,0.0,0.0,50.7,0
,Balde,Barcelona,Defender,,,,,,440.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,,491.0,1.0,0.0,0.0,0.0,19.0,2.0,19.0,2.0,0.0,0.0,3.7,3
,Bale,Real Madrid,Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0,0.0,2.2,3
,Ballo,Milan,Defender,,,,,,,,,,,,,,,,,,,,,,417.0,2.0,2.0,0.0,0.0,91.0,2.0,91.0,2.0,0.0,0.0,11.6,3
,Bamba,LOSC,Forward,,,,,,219.0,4.0,1.0,0.0,3.0,6.0,,,,,,,,,,,107.0,7.0,11.0,3.0,0.0,468.0,6.0,468.0,6.0,0.0,0.0,58.2,0
,Barella,Inter,Midfielder,,,,,,130.0,7.0,0.0,7.0,0.0,6.0,,,,,,,,,,,326.0,3.0,7.0,0.0,1.0,496.0,6.0,496.0,6.0,0.0,0.0,65.4,0
,Barkley,Chelsea,Midfielder,,,,,,277.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,96.0,3.0,0.0,0.0,12.7,3
,Barrios,Zenit,Midfielder,,,,,,440.0,1.0,0.0,0.0,1.0,6.0,,,,,,,,,,,146.0,6.0,9.0,1.0,0.0,540.0,6.0,540.0,6.0,0.0,0.0,61.5,0
,Bastoni,Inter,Defender,,,,,,440.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,40.0,11.0,8.0,2.0,0.0,666.0,8.0,666.0,8.0,0.0,0.0,76.6,0
,Batshuayi,Beşiktaş,Forward,,,,,,80.0,10.0,2.0,7.0,1.0,5.0,,,,,,,,,,,146.0,6.0,3.0,1.0,0.0,383.0,5.0,383.0,5.0,0.0,0.0,43.5,0
12.0,Bellingham,Dortmund,Midfielder,3.0,1.0,1.0,24.0,6.0,44.0,13.0,4.0,6.0,3.0,6.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,94.0,8.0,17.0,1.0,0.0,503.0,6.0,503.0,6.0,1.0,3.0,62.3,2
,Ben Arfa,LOSC,Midfielder,,,,,,440.0,1.0,0.0,0.0,1.0,2.0,,,,,,,,,,,491.0,1.0,1.0,1.0,0.0,22.0,2.0,22.0,2.0,0.0,0.0,3.6,3
,Bennacer,Milan,Midfielder,,,,,,347.0,2.0,1.0,0.0,1.0,6.0,,,,,,,,,,,107.0,7.0,8.0,1.0,0.0,376.0,6.0,376.0,6.0,0.0,0.0,47.1,0
64.0,Bentancur,Juventus,Midfielder,1.0,0.0,1.0,2.0,5.0,347.0,2.0,0.0,2.0,0.0,5.0,,,,,,,,,,,201.0,5.0,2.0,0.0,0.0,382.0,5.0,382.0,5.0,0.0,1.0,48.7,0
64.0,Benzema,Real Madrid,Forward,1.0,2.0,9.0,18.0,12.0,1.0,45.0,23.0,13.0,9.0,12.0,1.0,15.0,11.0,1.0,3.0,0.0,13.0,2.0,3.0,12.0,417.0,2.0,4.0,1.0,0.0,1106.0,12.0,1106.0,12.0,15.0,1.0,121.5,1
,Berget,Malmö,Midfielder,,,,,,,,,,,,,,,,,,,,,,326.0,3.0,4.0,0.0,0.0,438.0,5.0,438.0,5.0,0.0,0.0,53,3
64.0,Berghuis,Ajax,Forward,1.0,15.0,2.0,3.0,8.0,31.0,16.0,5.0,6.0,5.0,8.0,23.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,8.0,326.0,3.0,1.0,1.0,0.0,628.0,8.0,628.0,8.0,3.0,1.0,79.8,2
,Berkay Vardar,Beşiktaş,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,0.0,0.0,1.9,3
24.0,Bernardeschi,Juventus,Midfielder,2.0,7.0,1.0,7.0,5.0,130.0,7.0,5.0,1.0,1.0,5.0,,,,,,,,,,,417.0,2.0,4.0,0.0,0.0,292.0,5.0,292.0,5.0,0.0,2.0,36.3,0
64.0,Bernardo,Salzburg,Defender,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,0.0,1.0,4.2,3
12.0,Bernardo Silva,Man. City,Midfielder,3.0,2.0,3.0,18.0,11.0,130.0,7.0,4.0,2.0,1.0,11.0,23.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,11.0,55.0,10.0,6.0,0.0,0.0,878.0,11.0,878.0,11.0,3.0,3.0,120.3,1
64.0,Birmančević,Malmö,Midfielder,1.0,0.0,0.0,19.0,6.0,179.0,5.0,0.0,4.0,1.0,6.0,,,,,,,,,,,491.0,1.0,10.0,0.0,0.0,356.0,6.0,356.0,6.0,0.0,1.0,44.6,0
,Blanco,Real Madrid,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,1.3,3
64.0,Blind,Ajax,Defender,1.0,0.0,1.0,8.0,8.0,219.0,4.0,2.0,1.0,1.0,8.0,73.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,201.0,5.0,0.0,1.0,0.0,572.0,8.0,572.0,8.0,1.0,1.0,70.9,2
,Bondar,Shakhtar Donetsk,Defender,,,,,,440.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,491.0,1.0,0.0,0.0,0.0,90.0,1.0,90.0,1.0,0.0,0.0,10.2,3
,Bondarenko,Shakhtar Donetsk,Midfielder,,,,,,347.0,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,491.0,1.0,2.0,0.0,0.0,84.0,2.0,84.0,2.0,0.0,0.0,11.8,3
,Bonnah,Leipzig,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,0.0,1.6,3
,Bonucci,Juventus,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,7.0,0.0,0.0,60.6,3
,Bornauw,Wolfsburg,Defender,,,,,,347.0,2.0,0.0,2.0,0.0,3.0,,,,,,,,,,,326.0,3.0,0.0,1.0,0.0,204.0,3.0,204.0,3.0,0.0,0.0,22.3,3
,Botman,LOSC,Defender,,,,,,277.0,3.0,1.0,2.0,0.0,5.0,,,,,,,,,,,491.0,1.0,3.0,1.0,0.0,418.0,5.0,418.0,5.0,0.0,0.0,47.4,3
,Bounou,Sevilla,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,491.0,1.0,0.0,0.0,0.0,540.0,6.0,540.0,6.0,0.0,0.0,37.2,3
,Boyko,Dynamo Kyiv,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,1.0,0.0,0.0,4.5,3
,Bozdoğan,Beşiktaş,Midfielder,,,,,,347.0,2.0,0.0,2.0,0.0,4.0,,,,,,,,,,,263.0,4.0,7.0,1.0,0.0,219.0,4.0,219.0,4.0,0.0,0.0,28.3,3
,Bradarić,LOSC,Defender,,,,,,,,,,,,,,,,,,,,,,491.0,1.0,0.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,2,3
,Bradley,Liverpool,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.4,3
64.0,Brahim Díaz,Milan,Midfielder,1.0,0.0,0.0,19.0,5.0,179.0,5.0,2.0,2.0,1.0,5.0,73.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,326.0,3.0,12.0,1.0,0.0,351.0,5.0,351.0,5.0,1.0,1.0,43.9,2
,Brandt,Dortmund,Midfielder,,,,,,219.0,4.0,0.0,3.0,1.0,5.0,,,,,,,,,,,417.0,2.0,2.0,0.0,0.0,395.0,5.0,395.0,5.0,0.0,0.0,51.8,3
,Brobbey,Ajax,Forward,,,,,,440.0,1.0,0.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,3
,Brobbey,Leipzig,Forward,,,,,,,,,,,,,,,,,,,,,,326.0,3.0,3.0,0.0,0.0,115.0,5.0,115.0,5.0,0.0,0.0,14.3,3
,Brooks,Wolfsburg,Defender,,,,,,,,,,,,,,,,,,,,,,201.0,5.0,0.0,3.0,1.0,331.0,4.0,331.0,4.0,0.0,0.0,36.3,3
,Brorsson,Malmö,Defender,,,,,,,,,,,,,,,,,,,,,,201.0,5.0,2.0,2.0,0.0,448.0,5.0,448.0,5.0,0.0,0.0,49.9,3
,Brozović,Inter,Midfielder,,,,,,69.0,11.0,1.0,4.0,6.0,8.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,201.0,5.0,6.0,0.0,0.0,635.0,8.0,635.0,8.0,1.0,0.0,89.3,2
,Bruno,Sheriff,Midfielder,,,,,,277.0,3.0,1.0,1.0,1.0,6.0,,,,,,,,,,,107.0,7.0,5.0,0.0,0.0,312.0,6.0,312.0,6.0,0.0,0.0,38.5,0
,Bruno Costa,Porto,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,0.0,2,3
1.0,Bruno Fernandes,Man. United,Midfielder,7.0,10.0,2.0,7.0,7.0,52.0,12.0,3.0,3.0,6.0,7.0,,,,,,,,,,,201.0,5.0,9.0,0.0,0.0,520.0,7.0,520.0,7.0,0.0,7.0,58.4,0
64.0,Bruno Tabata,Sporting CP,Midfielder,1.0,2.0,0.0,2.0,4.0,219.0,4.0,1.0,1.0,2.0,4.0,73.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,201.0,5.0,2.0,1.0,0.0,201.0,4.0,201.0,4.0,1.0,1.0,28.3,2
,Burak Yilmaz,LOSC,Forward,,,,,,13.0,25.0,8.0,9.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,3
,Burak Yılmaz,LOSC,Forward,,,,,,,,,,,,23.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,94.0,8.0,11.0,2.0,0.0,529.0,7.0,529.0,7.0,3.0,0.0,56.2,2
,Bushchan,Dynamo Kyiv,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,5.0,0.0,0.0,25.6,3
,Buyalskiy,Dynamo Kyiv,Midfielder,,,,,,219.0,4.0,3.0,0.0,1.0,5.0,,,,,,,,,,,417.0,2.0,14.0,1.0,0.0,436.0,5.0,436.0,5.0,0.0,0.0,58.5,0
,Bürgy,Young Boys,Defender,,,,,,440.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,491.0,1.0,4.0,0.0,0.0,180.0,2.0,180.0,2.0,0.0,0.0,21.4,3
,C. Martins Pereira,Young Boys,Midfielder,,,,,,179.0,5.0,1.0,3.0,1.0,5.0,,,,,,,,,,,107.0,7.0,4.0,1.0,0.0,420.0,5.0,420.0,5.0,0.0,0.0,44.5,0
,Calabria,Milan,Defender,,,,,,440.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,,417.0,2.0,3.0,0.0,0.0,315.0,4.0,315.0,4.0,0.0,0.0,38.5,3
,Camara,Salzburg,Midfielder,,,,,,277.0,3.0,0.0,3.0,0.0,8.0,,,,,,,,,,,20.0,14.0,23.0,2.0,0.0,672.0,8.0,672.0,8.0,0.0,0.0,80.9,0
,Camara,Young Boys,Defender,,,,,,347.0,2.0,1.0,1.0,0.0,4.0,,,,,,,,,,,263.0,4.0,0.0,0.0,0.0,347.0,4.0,347.0,4.0,0.0,0.0,30.5,3
64.0,Camavinga,Real Madrid,Midfielder,1.0,0.0,1.0,2.0,10.0,347.0,2.0,0.0,2.0,0.0,10.0,,,,,,,,,,,201.0,5.0,10.0,1.0,0.0,296.0,10.0,296.0,10.0,0.0,1.0,40.2,0
,Capaldo,Salzburg,Midfielder,,,,,,440.0,1.0,0.0,0.0,1.0,7.0,,,,,,,,,,,16.0,15.0,8.0,3.0,0.0,281.0,7.0,281.0,7.0,0.0,0.0,36.9,0
5.0,Capoue,Villarreal,Midfielder,4.0,0.0,0.0,17.0,12.0,98.0,9.0,3.0,4.0,2.0,12.0,43.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,19.0,17.0,3.0,1.0,1046.0,12.0,1046.0,12.0,2.0,4.0,130.9,1
